,P,I,V,Q,N,L,Q,G,Q,M,V,H,Q,A,I,S,P,R,T,L,N,A,W,V,K,V,V,E,E,K,A,F,S,P,E,V,I,P,M,F,S,A,L,S,E,G,A,T,P,Q,D,L,N,T,M,L,N,T,V,G,G,H,Q,A,A,M,Q,M,L,K,E,T,I,N,E,E,A,A,E,W,D,R,L,H,P,V,H,A,G,P,I,A,A,G,Q,M,R,E,P,R,G,S,D,I,A,G,T,T,S,T,L,Q,E,Q,I,G,W,M,T,H,N,P,P,I,P,V,G,E,I,Y,K,R,W,I,I,L,G,L,N,K,I,V,R,M,Y
K,0.3161464333534241,0.3439619243144989,0.3860244154930115,0.440298467874527,0.39484384655952454,0.40976929664611816,0.3968792259693146,0.46540018916130066,0.35888731479644775,0.3487109839916229,0.39823606610298157,0.3541383445262909,0.42401617765426636,0.37177741527557373,0.3643147647380829,0.3846675157546997,0.350746214389801,0.3704204857349396,0.3317503035068512,0.3731342554092407,0.3968791365623474,0.35753047466278076,0.3649931252002716,0.38263219594955444,0.3500678241252899,0.46607857942581177,0.39009493589401245,0.3677068054676056,0.3724558651447296,0.33785611391067505,0.40773409605026245,0.36702844500541687,0.42062410712242126,0.33921295404434204,0.34938937425613403,0.3677068054676056,0.37177741527557373,0.40094974637031555,0.31682491302490234,0.4124829173088074,0.32835814356803894,0.43894147872924805,0.39009493589401245,0.39348700642585754,0.32428762316703796,0.3880595564842224,0.41451820731163025,0.37109896540641785,0.31275439262390137,0.35685208439826965,0.32632285356521606,0.3853459656238556,0.3446403741836548,0.39959290623664856,0.2998642921447754,0.3914518654346466,0.3643147647380829,0.3846675157546997,0.40366342663764954,0.42605146765708923,0.36567166447639465,0.3215738832950592,0.3772048354148865,0.3880596458911896,0.4396200180053711,0.3310718238353729,0.4280867576599121,0.31614649295806885,0.3853459656238556,0.35753047466278076,0.31411123275756836,0.3270012438297272,0.41248297691345215,0.3398914039134979,0.32700130343437195,0.3100406229496002,0.38127535581588745,0.44436898827552795,0.30122110247612,0.3500678241252899,0.3643147647380829,0.3113975524902344,0.36295783519744873,0.38195374608039856,0.34056979417800903,0.31275439262390137,0.31818175315856934,0.358887255191803,0.3826322853565216,0.31682485342025757,0.5739483833312988,0.08819527924060822,0.5115332007408142,0.17367702722549438,0.45047488808631897,0.3622794449329376,0.38263219594955444,0.2937583923339844,0.3833106756210327,0.34871089458465576,0.3799184560775757,0.3202170431613922,0.38127535581588745,0.3765263855457306,0.3846675157546997,0.3731342554092407,0.35956576466560364,0.36160099506378174,0.35617363452911377,0.33921295404434204,0.3772048354148865,0.40162819623947144,0.3873811960220337,0.3656715154647827,0.41723188757896423,0.3120759129524231,0.3629579246044159,0.3466756045818329,0.3792400658130646,0.34531885385513306,0.3622794449329376,0.31682491302490234,0.30732691287994385,0.4124829173088074,0.3704204857349396,0.3622794449329376,0.3975575864315033,0.33921295404434204,0.3941655457019806,0.38331058621406555,0.34464031457901,0.2991858422756195,0.3731342554092407,0.43487104773521423,0.3880596458911896,0.40502026677131653,0.353459894657135,0.4097692370414734,0.34803253412246704,0.3215738832950592,0.356173574924469,0.35617363452911377,0.3514246642589569,0.31411123275756836,0.4070555567741394
G,0.4667571187019348,0.4945725202560425,0.5366348624229431,0.5909090638160706,0.5454544425010681,0.5603799223899841,0.5474897623062134,0.6160109043121338,0.5094977617263794,0.4993215799331665,0.5488466620445251,0.5047489404678345,0.5746266841888428,0.5223879218101501,0.5149253010749817,0.5352780818939209,0.5013567805290222,0.5210310220718384,0.4823608100414276,0.5237448811531067,0.5474897623062134,0.5081409811973572,0.5156038403511047,0.5332428216934204,0.5006784796714783,0.6166892647743225,0.5407056212425232,0.5183175206184387,0.5230664610862732,0.48846670985221863,0.5583446025848389,0.5176389813423157,0.5712346434593201,0.4898235499858856,0.4999999701976776,0.5183175206184387,0.5223879218101501,0.5515603423118591,0.4674355089664459,0.5630934238433838,0.4789687395095825,0.5895522832870483,0.5407054424285889,0.5440976619720459,0.47489815950393677,0.5386703014373779,0.565128743648529,0.5217095613479614,0.4633648991584778,0.5074626207351685,0.47693344950675964,0.5359565019607544,0.49525097012519836,0.5502034425735474,0.4504747986793518,0.5420624017715454,0.5149254202842712,0.5352780818939209,0.5542740225791931,0.576662003993988,0.5162822008132935,0.4721844792366028,0.5278154611587524,0.5386703014373779,0.5902305245399475,0.4816824197769165,0.5786974430084229,0.46675702929496765,0.5359565019607544,0.5081409811973572,0.46472182869911194,0.47761183977127075,0.5630936026573181,0.4905019998550415,0.47761183977127075,0.4606512188911438,0.5318859219551086,0.5949796438217163,0.4518316388130188,0.5006783604621887,0.5149253010749817,0.4620080590248108,0.5135685205459595,0.5325642824172974,0.4911803901195526,0.4633650481700897,0.4687924087047577,0.5094979405403137,0.5332428216934204,0.4674355089664459,0.7245590090751648,0.2388058751821518,0.6621437668800354,0.32428762316703796,0.6010854244232178,0.5128899812698364,0.5332428216934204,0.44436898827552795,0.5339211821556091,0.49932143092155457,0.5305289626121521,0.4708276391029358,0.5318859219551086,0.527137041091919,0.5352780818939209,0.5237448811531067,0.5101763010025024,0.5122116208076477,0.5067842602729797,0.4898235499858856,0.5278154611587524,0.5522387027740479,0.5379917621612549,0.5162822008132935,0.5678425431251526,0.4626865088939667,0.5135685205459595,0.4972861409187317,0.5298507213592529,0.4959293603897095,0.5128901600837708,0.4674355089664459,0.45793747901916504,0.5630936026573181,0.5210312008857727,0.5128900408744812,0.5481681227684021,0.4898235499858856,0.5447760820388794,0.5339211821556091,0.4952508211135864,0.4497964382171631,0.5237448811531067,0.585481584072113,0.5386703014373779,0.5556308031082153,0.5040704011917114,0.5603797435760498,0.49864304065704346,0.4721844792366028,0.5067842602729797,0.5067842602729797,0.5020352005958557,0.46472182869911194,0.5576662421226501
F,0.48846670985221863,0.5162822008132935,0.5583446025848389,0.6126186847686768,0.5671641826629639,0.5820894837379456,0.5691995024681091,0.6377203464508057,0.5312075018882751,0.5210312008857727,0.5705562233924866,0.5264586210250854,0.5963364243507385,0.5440976619720459,0.5366350412368774,0.5569877028465271,0.5230664014816284,0.5427407622337341,0.5040705800056458,0.5454544425010681,0.5691993236541748,0.5298507213592529,0.5373132824897766,0.5549523830413818,0.5223880410194397,0.6383988261222839,0.5624151229858398,0.5400270819664001,0.5447760820388794,0.5101763010025024,0.5800542235374451,0.5393487215042114,0.5929442048072815,0.5115331411361694,0.5217095613479614,0.5400269627571106,0.5440976619720459,0.5732699036598206,0.48914510011672974,0.5848031640052795,0.5006783604621887,0.6112617254257202,0.5624151825904846,0.5658072829246521,0.4966077506542206,0.5603797435760498,0.5868384838104248,0.5434193015098572,0.48507457971572876,0.5291722416877747,0.4986431300640106,0.5576660633087158,0.5169606804847717,0.5719131827354431,0.4721844792366028,0.5637719631195068,0.5366348624229431,0.5569877028465271,0.5759835839271545,0.5983717441558838,0.5379917621612549,0.49389412999153137,0.5495250225067139,0.5603797435760498,0.6119402647018433,0.5033921003341675,0.6004068851470947,0.48846670985221863,0.5576660633087158,0.5298507213592529,0.48643141984939575,0.49932149052619934,0.5848031640052795,0.5122116208076477,0.4993215799331665,0.4823608994483948,0.5535956621170044,0.6166892647743225,0.4735413193702698,0.5223881006240845,0.5366348624229431,0.48371773958206177,0.5352780818939209,0.5542740225791931,0.5128900408744812,0.4850744903087616,0.49050194025039673,0.5312075018882751,0.5549523830413818,0.48914510011672974,0.7462685704231262,0.2605154812335968,0.6838533282279968,0.34599706530570984,0.6227949857711792,0.5345997214317322,0.5549525022506714,0.46607866883277893,0.5556309223175049,0.5210312008857727,0.5522387027740479,0.4925372302532196,0.5535956621170044,0.5488466620445251,0.5569877028465271,0.5454544425010681,0.5318860411643982,0.5339212417602539,0.5284938216209412,0.5115332007408142,0.5495250225067139,0.573948323726654,0.5597014427185059,0.5379917621612549,0.5895521640777588,0.4843961000442505,0.5352779626846313,0.5189958810806274,0.5515603423118591,0.5176391005516052,0.5345996022224426,0.48914510011672974,0.47964712977409363,0.5848031640052795,0.5427407622337341,0.5345996618270874,0.5698778629302979,0.5115332007408142,0.5664858222007751,0.5556309223175049,0.5169605612754822,0.4715060889720917,0.5454544425010681,0.6071913242340088,0.5603797435760498,0.5773405432701111,0.5257801413536072,0.5820894837379456,0.5203527808189392,0.4938940703868866,0.5284938216209412,0.5284938216209412,0.5237448811531067,0.48643141984939575,0.579375684261322
G,0.46540018916130066,0.4932156801223755,0.5352780222892761,0.5895521640777588,0.5440976619720459,0.5590230226516724,0.5461329817771912,0.6146538257598877,0.5081409811973572,0.49796465039253235,0.5474897623062134,0.5033921003341675,0.5732699036598206,0.5210312008857727,0.5135684609413147,0.5339213609695435,0.4999999701976776,0.5196742415428162,0.4810040593147278,0.5223880410194397,0.5461328029632568,0.5067841410636902,0.5142467617988586,0.5318859219551086,0.49932149052619934,0.6153323650360107,0.5393486022949219,0.5169605612754822,0.5217095613479614,0.4871097803115845,0.5569878220558167,0.5162822008132935,0.5698778629302979,0.48846670985221863,0.4986431300640106,0.5169607400894165,0.5210310816764832,0.5502034425735474,0.46607857942581177,0.5617367029190063,0.47761183977127075,0.588195264339447,0.5393487215042114,0.5427407622337341,0.4735413193702698,0.5373132824897766,0.5637719631195068,0.5203527808189392,0.4620080590248108,0.5061057209968567,0.47557660937309265,0.5345997214317322,0.49389412999153137,0.5488466620445251,0.4491179585456848,0.5407056212425232,0.5135683417320251,0.5339213609695435,0.5529171228408813,0.5753052234649658,0.5149253010749817,0.4708276391029358,0.5264585614204407,0.5373132824897766,0.5888738036155701,0.4803255796432495,0.5773405432701111,0.46540018916130066,0.5345996618270874,0.5067842602729797,0.4633648991584778,0.47625499963760376,0.5617367029190063,0.4891451597213745,0.47625505924224854,0.4592943787574768,0.5305291414260864,0.5936227440834045,0.4504747986793518,0.49932149052619934,0.5135683417320251,0.4606512188911438,0.5122116208076477,0.5312075018882751,0.4898235499858856,0.46200814843177795,0.4674355089664459,0.5081409811973572,0.5318860411643982,0.46607866883277893,0.7232020497322083,0.23744896054267883,0.6607868075370789,0.32293087244033813,0.599728524684906,0.5115331411361694,0.5318859815597534,0.44301214814186096,0.5325643420219421,0.49796465039253235,0.5291722416877747,0.4694707989692688,0.5305291414260864,0.5257801413536072,0.5339213609695435,0.5223881006240845,0.5088194608688354,0.5108547806739807,0.5054273009300232,0.48846670985221863,0.5264585614204407,0.5508819818496704,0.5366349220275879,0.5149253010749817,0.5664856433868408,0.4613296687602997,0.5122116208076477,0.4959293603897095,0.5284938216209412,0.4945725202560425,0.5115330815315247,0.46607857942581177,0.45658063888549805,0.5617367029190063,0.5196742415428162,0.5115331411361694,0.5468113422393799,0.48846670985221863,0.5434193015098572,0.5325644016265869,0.4938940703868866,0.4484395980834961,0.5223881006240845,0.5841248035430908,0.5373132824897766,0.5542740225791931,0.5027136206626892,0.5590230226516724,0.49728628993034363,0.47082754969596863,0.5054273009300232,0.5054273009300232,0.5006784200668335,0.4633648991584778,0.556309163570404
Y,0.4362278878688812,0.4640432894229889,0.5061058402061462,0.5603799223899841,0.5149253010749817,0.5298506617546082,0.5169605612754822,0.5854817032814026,0.4789687395095825,0.46879225969314575,0.5183175206184387,0.47421976923942566,0.5440975427627563,0.4918587803840637,0.4843961000442505,0.5047489404678345,0.47082754969596863,0.4905019998550415,0.4518316388130188,0.4932156801223755,0.5169605612754822,0.47761183977127075,0.48507463932037354,0.5027135014533997,0.4701492488384247,0.5861601233482361,0.5101763010025024,0.48778825998306274,0.4925372898578644,0.4579375386238098,0.5278154611587524,0.4871097803115845,0.5407056212425232,0.4592943787574768,0.46947070956230164,0.4877883195877075,0.4918587803840637,0.5210310220718384,0.43690624833106995,0.5325644016265869,0.44843944907188416,0.5590230226516724,0.5101763010025024,0.5135685205459595,0.44436898827552795,0.5081411600112915,0.5345997214317322,0.4911803901195526,0.43283572793006897,0.47693344950675964,0.44640427827835083,0.5054273009300232,0.4647217392921448,0.5196742415428162,0.4199456572532654,0.5115332007408142,0.4843961000442505,0.5047489404678345,0.5237447023391724,0.5461329817771912,0.48575302958488464,0.4416552484035492,0.4972861409187317,0.5081409811973572,0.5597013831138611,0.4511532783508301,0.5481683015823364,0.4362278878688812,0.5054274797439575,0.47761183977127075,0.43419256806373596,0.4470827579498291,0.5325644016265869,0.4599728286266327,0.44708266854286194,0.430122047662735,0.5013567209243774,0.5644503831863403,0.42130255699157715,0.4701491892337799,0.4843962490558624,0.431478887796402,0.48303934931755066,0.5020352602005005,0.4606512188911438,0.43283581733703613,0.4382632374763489,0.4789685904979706,0.5027136206626892,0.4369063377380371,0.6940298080444336,0.20827671885490417,0.6316147446632385,0.29375848174095154,0.5705562233924866,0.4823608100414276,0.5027136206626892,0.41383981704711914,0.5033920407295227,0.46879225969314575,0.4999999701976776,0.440298467874527,0.5013567209243774,0.4966078996658325,0.5047489404678345,0.4932156801223755,0.47964712977409363,0.4816824197769165,0.4762549102306366,0.45929431915283203,0.4972861409187317,0.5217095613479614,0.5074626207351685,0.48575302958488464,0.5373132824897766,0.4321572780609131,0.48303934931755066,0.4667569696903229,0.49932149052619934,0.46540018916130066,0.48236095905303955,0.4369063377380371,0.427408367395401,0.5325642824172974,0.4905019998550415,0.4823608100414276,0.5176389813423157,0.4592943787574768,0.5142468810081482,0.5033920407295227,0.4647216796875,0.4192671775817871,0.4932156801223755,0.5549523830413818,0.5081411600112915,0.5251017808914185,0.4735412299633026,0.5298506021499634,0.46811386942863464,0.44165530800819397,0.47625505924224854,0.47625505924224854,0.4715060293674469,0.43419256806373596,0.527137041091919
K,0.3310719132423401,0.35888731479644775,0.40094974637031555,0.4552237093448639,0.4097692370414734,0.42469462752342224,0.41180452704429626,0.48032552003860474,0.3738127052783966,0.36363622546195984,0.41316136717796326,0.36906373500823975,0.43894162774086,0.38670286536216736,0.3792400658130646,0.39959290623664856,0.3656716048717499,0.3853459656238556,0.34667569398880005,0.3880596458911896,0.41180452704429626,0.37245580554008484,0.37991851568222046,0.3975575864315033,0.3649931252002716,0.4810040593147278,0.40502026677131653,0.38263219594955444,0.3873811960220337,0.3527815043926239,0.42265939712524414,0.3819538354873657,0.43554940819740295,0.35413825511932373,0.3643147051334381,0.38263219594955444,0.3867028057575226,0.4158751368522644,0.3317503035068512,0.427408367395401,0.3432835340499878,0.45386695861816406,0.40502026677131653,0.40841245651245117,0.33921295404434204,0.40298494696617126,0.42944368720054626,0.3860244154930115,0.32767972350120544,0.37177741527557373,0.3412482440471649,0.4002712666988373,0.35956576466560364,0.4145183563232422,0.3147895932197571,0.4063771665096283,0.3792400658130646,0.3995928168296814,0.4185888171195984,0.44097691774368286,0.38059690594673157,0.33649927377700806,0.3921302258968353,0.40298494696617126,0.4545454680919647,0.3459972143173218,0.44301214814186096,0.3310718238353729,0.40027135610580444,0.3724558651447296,0.3290366232395172,0.3419266939163208,0.4274083077907562,0.3548167943954468,0.3419266641139984,0.3249660134315491,0.39620083570480347,0.45929431915283203,0.3161464333534241,0.3649931252002716,0.37924015522003174,0.32632285356521606,0.37788331508636475,0.3968792259693146,0.3554951846599579,0.32767969369888306,0.3331071436405182,0.3738127052783966,0.3975575864315033,0.33175021409988403,0.5888738036155701,0.10312066972255707,0.5264585614204407,0.18860234320163727,0.46540018916130066,0.3772047758102417,0.3975575864315033,0.3086837828159332,0.3982359766960144,0.3636362850666046,0.3948439061641693,0.3351423442363739,0.39620083570480347,0.39145177602767944,0.3995928168296814,0.3880595564842224,0.3744910955429077,0.3765263855457306,0.3710990250110626,0.3541383445262909,0.39213016629219055,0.4165534973144531,0.40230658650398254,0.38059699535369873,0.43215736746788025,0.32700130343437195,0.3778832256793976,0.3616010844707489,0.3941654562950134,0.36024415493011475,0.3772048354148865,0.3317503035068512,0.3222522735595703,0.427408367395401,0.3853459656238556,0.3772048354148865,0.4124829173088074,0.35413825511932373,0.4090907871723175,0.39823606610298157,0.35956576466560364,0.3141111731529236,0.3880595564842224,0.4497963488101959,0.4029850363731384,0.41994571685791016,0.36838534474372864,0.424694687128067,0.36295783519744873,0.33649927377700806,0.37109896540641785,0.37109896540641785,0.36635005474090576,0.3290366232395172,0.42198094725608826
G,0.347353994846344,0.3751695454120636,0.41723188757896423,0.4715060889720917,0.42605146765708923,0.44097691774368286,0.4280867576599121,0.4966078996658325,0.3900947868824005,0.3799186050891876,0.42944368720054626,0.3853459656238556,0.4552237093448639,0.40298494696617126,0.3955222964286804,0.4158751368522644,0.38195374608039856,0.4016280472278595,0.36295783519744873,0.4043418765068054,0.4280867576599121,0.3887380361557007,0.39620083570480347,0.41383981704711914,0.38127535581588745,0.49728628993034363,0.4213024973869324,0.39891451597213745,0.4036634862422943,0.36906373500823975,0.43894162774086,0.3982359766960144,0.4518316388130188,0.3704206347465515,0.38059690594673157,0.39891451597213745,0.40298494696617126,0.43215736746788025,0.3480323851108551,0.44369059801101685,0.3595656156539917,0.4701491892337799,0.4213024973869324,0.424694687128067,0.3554950952529907,0.41926732659339905,0.44572576880455017,0.40230658650398254,0.3439619243144989,0.3880595564842224,0.3575305640697479,0.4165534973144531,0.3758479356765747,0.4308004379272461,0.3310719132423401,0.42265939712524414,0.3955222964286804,0.4158751368522644,0.43487104773521423,0.45725899934768677,0.3968792259693146,0.3527815639972687,0.40841245651245117,0.41926732659339905,0.47082754969596863,0.3622795343399048,0.45929446816444397,0.34735405445098877,0.4165534973144531,0.3887380361557007,0.34531885385513306,0.35820886492729187,0.44369059801101685,0.3710990250110626,0.35820886492729187,0.3412482440471649,0.4124829173088074,0.4755766987800598,0.3324286639690399,0.38127535581588745,0.3955222964286804,0.3426051735877991,0.3941655457019806,0.4131613075733185,0.37177741527557373,0.34396207332611084,0.3493894338607788,0.39009493589401245,0.41383981704711914,0.34803253412246704,0.6051560044288635,0.11940290033817291,0.5427407622337341,0.20488464832305908,0.4816824197769165,0.39348700642585754,0.41383981704711914,0.32496610283851624,0.41451820731163025,0.3799184560775757,0.41112613677978516,0.3514247238636017,0.4124829173088074,0.40773409605026245,0.4158751368522644,0.4043418765068054,0.39077332615852356,0.39280855655670166,0.38738125562667847,0.37042057514190674,0.40841245651245117,0.43283572793006897,0.4185888171195984,0.3968792259693146,0.44843944907188416,0.34328362345695496,0.3941655457019806,0.3778831660747528,0.41044777631759644,0.3765263855457306,0.3934871554374695,0.34803253412246704,0.33853456377983093,0.4436904489994049,0.4016281068325043,0.39348700642585754,0.4287651479244232,0.37042057514190674,0.4253730773925781,0.41451820731163025,0.37584784626960754,0.33039337396621704,0.4043418765068054,0.46607857942581177,0.41926732659339905,0.43622779846191406,0.38466742634773254,0.4409767687320709,0.3792400658130646,0.35278141498565674,0.38738125562667847,0.38738125562667847,0.3826322853565216,0.3453187644481659,0.4382632374763489
S,0.4620080590248108,0.4898235499858856,0.5318859815597534,0.5861601233482361,0.5407054424285889,0.5556308627128601,0.5427407622337341,0.6112619042396545,0.5047489404678345,0.4945725202560425,0.5440976619720459,0.4999999701976776,0.5698777437210083,0.5176389813423157,0.5101763606071472,0.5305290818214417,0.4966077506542206,0.5162822008132935,0.4776118993759155,0.5189958810806274,0.5427407622337341,0.5033921003341675,0.5108547806739807,0.5284938216209412,0.4959293603897095,0.6119402647018433,0.5359565615653992,0.5135684609413147,0.5183174014091492,0.48371773958206177,0.5535956621170044,0.5128900408744812,0.5664858222007751,0.48507457971572876,0.4952509105205536,0.5135684609413147,0.5176390409469604,0.5468113422393799,0.4626865088939667,0.5583446025848389,0.47421976923942566,0.5848031640052795,0.5359565019607544,0.5393486022949219,0.4701491892337799,0.5339213609695435,0.5603799223899841,0.5169605612754822,0.4586159288883209,0.5027136206626892,0.4721844792366028,0.5312075018882751,0.49050194025039673,0.5454544425010681,0.44572582840919495,0.5373134016990662,0.5101763606071472,0.5305291414260864,0.5495250225067139,0.5719131827354431,0.5115332007408142,0.46743541955947876,0.5230664014816284,0.5339213609695435,0.585481584072113,0.47693344950675964,0.5739483833312988,0.4620080590248108,0.5312075018882751,0.5033920407295227,0.4599727690219879,0.4728628695011139,0.5583446025848389,0.4857529401779175,0.4728628695011139,0.45590224862098694,0.5271369218826294,0.5902305245399475,0.44708266854286194,0.4959293603897095,0.5101763010025024,0.45725908875465393,0.5088195204734802,0.5278154015541077,0.48643141984939575,0.4586159288883209,0.46404334902763367,0.5047487616539001,0.5284938216209412,0.4626865088939667,0.7198100090026855,0.2340569794178009,0.6573948264122009,0.3195386528968811,0.5963364243507385,0.5081411004066467,0.5284938216209412,0.4396200180053711,0.5291723012924194,0.4945725202560425,0.5257801413536072,0.46607866883277893,0.5271369814872742,0.5223879218101501,0.5305290818214417,0.5189958810806274,0.5054274201393127,0.5074626207351685,0.5020352005958557,0.48507457971572876,0.5230664014816284,0.5474897623062134,0.5332428216934204,0.5115332007408142,0.5630934238433838,0.45793747901916504,0.5088194608688354,0.4925372302532196,0.5251017212867737,0.4911803901195526,0.5081409811973572,0.4626865088939667,0.45318856835365295,0.5583444833755493,0.5162822008132935,0.5081409811973572,0.5434191226959229,0.48507457971572876,0.5400270819664001,0.5291723012924194,0.4905019998550415,0.44504743814468384,0.5189958810806274,0.5807325839996338,0.5339211821556091,0.5508819818496704,0.49932149052619934,0.5556308627128601,0.4938940703868866,0.4674355089664459,0.5020352602005005,0.5020352005958557,0.49728620052337646,0.4599727690219879,0.5529171824455261
C,0.40366342663764954,0.431478887796402,0.4735413193702698,0.5278154611587524,0.4823608100414276,0.49728620052337646,0.4843961000442505,0.5529171228408813,0.44640427827835083,0.436227947473526,0.4857528805732727,0.4416552484035492,0.5115332007408142,0.4592943787574768,0.45183172821998596,0.4721844792366028,0.4382631778717041,0.4579375386238098,0.4192672669887543,0.4606512188911438,0.4843961000442505,0.44504743814468384,0.45251011848449707,0.4701491892337799,0.4375847280025482,0.5535956621170044,0.4776118993759155,0.45522385835647583,0.4599727690219879,0.42537301778793335,0.4952508211135864,0.45454540848731995,0.5081409811973572,0.4267299175262451,0.43690624833106995,0.45522385835647583,0.4592943787574768,0.48846670985221863,0.4043418765068054,0.4999999701976776,0.4158751368522644,0.5264585614204407,0.4776119887828827,0.4810040593147278,0.41180452704429626,0.4755765497684479,0.5020352602005005,0.4586159288883209,0.4002712666988373,0.44436898827552795,0.41383981704711914,0.4728628695011139,0.4321572780609131,0.4871099293231964,0.3873811960220337,0.4789685904979706,0.45183172821998596,0.4721844792366028,0.4911803901195526,0.5135685205459595,0.45318856835365295,0.4090908467769623,0.46472182869911194,0.4755765497684479,0.527137041091919,0.4185888171195984,0.5156037211418152,0.40366342663764954,0.4728628695011139,0.44504737854003906,0.40162819623947144,0.4145182967185974,0.4999999701976776,0.4274083077907562,0.41451820731163025,0.3975575864315033,0.4687924087047577,0.5318859219551086,0.38873809576034546,0.4375847280025482,0.4518316388130188,0.3989144265651703,0.45047488808631897,0.4694707989692688,0.4280867576599121,0.4002712666988373,0.4056987166404724,0.44640427827835083,0.4701491892337799,0.4043418765068054,0.6614652872085571,0.17571225762367249,0.5990501046180725,0.2611939311027527,0.5379917621612549,0.4497964382171631,0.4701491892337799,0.38127535581588745,0.4708276391029358,0.4362278878688812,0.4674355089664459,0.4077340066432953,0.4687923491001129,0.46404334902763367,0.4721844792366028,0.46065130829811096,0.44708266854286194,0.4491179585456848,0.44369059801101685,0.4267299175262451,0.4647217392921448,0.48914510011672974,0.47489815950393677,0.45318856835365295,0.5047489404678345,0.39959290623664856,0.45047473907470703,0.4341926574707031,0.4667571187019348,0.43283572793006897,0.4497963488101959,0.4043418765068054,0.3948439061641693,0.4999999701976776,0.4579375386238098,0.4497964382171631,0.48507463932037354,0.4267299175262451,0.4816824197769165,0.4708276391029358,0.43215736746788025,0.3867028057575226,0.46065130829811096,0.5223881006240845,0.4755765497684479,0.4925372898578644,0.44097691774368286,0.49728620052337646,0.4355494976043701,0.4090908467769623,0.44369059801101685,0.44369053840637207,0.4389415681362152,0.4016281068325043,0.4945725202560425
F,0.5515603423118591,0.5793758034706116,0.6214381456375122,0.6757122874259949,0.630257785320282,0.6451831459999084,0.6322929859161377,0.7008140683174133,0.594301164150238,0.5841248035430908,0.6336498856544495,0.5895521640777588,0.6594300866127014,0.6071912050247192,0.5997285842895508,0.6200813055038452,0.5861601233482361,0.6058343648910522,0.5671641230583191,0.6085480451583862,0.6322931051254272,0.592944324016571,0.6004070043563843,0.6180460453033447,0.5854816436767578,0.7014924883842468,0.6255087852478027,0.6031206846237183,0.6078696846961975,0.5732699036598206,0.6431478261947632,0.6024422645568848,0.6560379862785339,0.5746267437934875,0.5848032832145691,0.6031206846237183,0.6071912050247192,0.6363636255264282,0.5522387027740479,0.6478968262672424,0.5637719631195068,0.6743555068969727,0.6255087852478027,0.6289008855819702,0.5597013831138611,0.6234735250473022,0.6499320864677429,0.6065127849578857,0.5481681227684021,0.5922658443450928,0.5617367625236511,0.6207597255706787,0.5800542235374451,0.6350067257881165,0.5352780818939209,0.6268656253814697,0.5997285842895508,0.6200813055038452,0.6390772461891174,0.6614653468132019,0.6010854244232178,0.5569877624511719,0.6126187443733215,0.6234735250473022,0.6750339269638062,0.5664857029914856,0.6635006070137024,0.5515603423118591,0.6207597255706787,0.592944324016571,0.5495250225067139,0.5624151229858398,0.6478968262672424,0.5753052234649658,0.5624151229858398,0.5454545021057129,0.6166890859603882,0.6797828674316406,0.5366349220275879,0.5854816436767578,0.5997285842895508,0.5468113422393799,0.5983717441558838,0.6173676252365112,0.5759837031364441,0.5481681823730469,0.5535956621170044,0.5943012833595276,0.6180460453033447,0.5522387027740479,0.8093622922897339,0.3236091732978821,0.7469470500946045,0.4090908467769623,0.6858886480331421,0.5976932644844055,0.6180460453033447,0.5291723012924194,0.6187244653701782,0.5841248035430908,0.6153323650360107,0.5556308627128601,0.6166892051696777,0.6119402647018433,0.6200814247131348,0.6085481643676758,0.5949795842170715,0.5970149040222168,0.5915875434875488,0.5746268630027771,0.6126186847686768,0.6370419263839722,0.6227951049804688,0.6010854244232178,0.6526459455490112,0.5474898219108582,0.5983717441558838,0.5820894837379456,0.6146539449691772,0.5807326436042786,0.5976933240890503,0.5522387027740479,0.5427407622337341,0.647896945476532,0.6058343648910522,0.5976932644844055,0.6329713463783264,0.5746267437934875,0.6295793056488037,0.6187244653701782,0.5800542235374451,0.5345996618270874,0.6085481643676758,0.6702848076820374,0.6234735250473022,0.6404341459274292,0.5888738036155701,0.6451830267906189,0.5834462642669678,0.5569877028465271,0.591587483882904,0.591587483882904,0.58683842420578,0.5495250225067139,0.6424694657325745
